,AFFGEOID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME.1,LSAD,ALAND,AWATER,AREA,PERIMETER,CAABA_,CAABA_ID,NAME.2,Total,White,Black,AIndian,Asian,Hawaiian,Max,residuals,div,Diversity,mean.partmat
1290,1400000US06037431001,6,37,431001,6037431001,4310.01,CT,1760407,0,18037550502,1379632.843,19,18,South Coast,7445,4573,286,81,562,0,4573,1901.075017,0.614237743,0.385762257,12.2645829
1314,1400000US06037432801,6,37,432801,6037432801,4328.01,CT,791496,7057,18037550502,1379632.843,19,18,South Coast,3055,1423,0,0,981,0,1423,-1319.876467,0.465793781,0.534206219,11.60852371
1324,1400000US06037433306,6,37,433306,6037433306,4333.06,CT,434314,0,18037550502,1379632.843,19,18,South Coast,3402,1416,54,5,1032,21,1416,-1313.480033,0.41622575,0.58377425,11.82755813
1346,1400000US06037460302,6,37,460302,6037460302,4603.02,CT,1310775,0,18037550502,1379632.843,19,18,South Coast,4756,2520,1530,0,75,6,2520,156.6891609,0.529857023,0.470142977,11.69942861
1401,1400000US06037480303,6,37,480303,6037480303,4803.03,CT,451631,0,18037550502,1379632.843,19,18,South Coast,4114,822,114,82,1902,0,1902,-1892.595106,0.462323772,0.537676228,11.48964864
1414,1400000US06037480903,6,37,480903,6037480903,4809.03,CT,803828,0,18037550502,1379632.843,19,18,South Coast,3001,561,45,0,1710,19,1710,-2170.712772,0.569810063,0.430189937,11.34355489
1427,1400000US06037481604,6,37,481604,6037481604,4816.04,CT,623010,0,18037550502,1379632.843,19,18,South Coast,4050,779,71,0,2518,18,2518,-1946.262637,0.621728395,0.378271605,11.41639734
1440,1400000US06037482102,6,37,482102,6037482102,4821.02,CT,1098016,0,18037550502,1379632.843,19,18,South Coast,2856,746,50,24,1376,0,1376,-1984.472361,0.481792717,0.518207283,11.27306224
1460,1400000US06037500402,6,37,500402,6037500402,5004.02,CT,1343474,0,18037550502,1379632.843,19,18,South Coast,4458,2132,45,9,0,13,2132,-599.7127716,0.478241364,0.521758636,11.17825708
1531,1400000US06037530203,6,37,530203,6037530203,5302.03,CT,736559,0,18037550502,1379632.843,19,18,South Coast,3031,1856,6,10,340,0,1856,-885.3879739,0.612339162,0.387660838,11.20439483
